size,total_sqft,bath,balcony,built_up,carpet,plot,immediate,readymove
4,2800,4,2,0,0,1,0,1
3,2475,4,3,0,0,0,0,1
2,3000,2,0,0,0,1,0,1
6,2400,7,2,0,0,1,0,1
2,1000,1,1,0,0,0,0,1
2,1200,2,0,0,0,1,0,1
2,1200,2,2,0,0,1,0,1
2,1200,2,1,0,0,1,0,0
2,1200,2,2,1,0,0,0,1
2,1255,2,1,0,0,0,0,1
2,1085,2,2,0,0,0,0,1
3,1592,3,1.584375738,0,0,0,0,0
2,1313,2,1,0,0,0,0,0
3,1934,3,2,0,0,0,0,0
2,1200,2,1,0,0,0,0,1
6,3600,6,2,0,0,0,0,1
2,935,2,1,0,0,0,0,0
2,877,2,2,1,0,0,0,1
2,936,2,2,0,0,0,0,1
3,1470,2,2,0,0,0,0,1
1,1050,1,1,1,0,0,0,1
2,1232,2,0,0,0,0,0,0
3,2225,4,2,0,0,0,0,1
3,1200,2,0,0,0,1,0,1
3,1901,3,2,0,0,0,0,1
3,1819,3,2,0,0,0,0,0
3,1464,3,2,0,0,0,0,1
2.803653311,2400,2.692510947,1.584375738,0,0,1,1,0
4,3715,6,0,0,0,0,0,1
4,5000,4,3,1,0,0,0,1
4,1200,4,3,0,0,0,0,1
2,1256,2,1,0,0,0,0,1
2,1100,2,2,0,0,0,0,1
4,4800,3,3,0,0,1,0,1
3,1435,3,3,0,0,0,0,1
4,3245,4,1.584375738,0,0,0,0,1
3,1845,4,1,0,0,0,0,1
3,2400,4,1,0,0,1,0,1
2,1140,2,2,0,0,0,0,1
2,1200,2,0,0,0,0,0,0
3,2254,3,2,0,0,0,0,0
3,1750,3,2,0,0,0,0,1
2,1020,2,1,1,0,0,0,1
1,515,1,1,1,0,0,0,1
3,1893,3,2,0,0,0,0,1
3,3025,3,0,0,0,0,0,1
2,830,2,0,1,0,0,0,1
2,600,2,1,1,0,0,0,1
3,1075,2,1,0,0,0,0,1
4,3200,4,2,0,0,1,0,1
2,1200,2,1,0,0,0,0,1
2,1233,2,2,0,0,0,0,0
2,1255,2,2,0,0,0,0,1
2,1200,2,2,0,0,0,0,1
3,2145,3,2,0,0,0,0,1
5,1500,5,1.584375738,1,0,0,0,1
2,740,2,1,1,0,0,0,1
3,1250,3,3,0,0,0,0,1
2,1210,2,2,0,0,0,0,1
3,1525,2,2,0,0,0,0,1
1,540,1,0,1,0,0,0,1
3,1240,2,1,0,0,0,0,1
3,1245,2,1,0,0,0,0,1
3,1865,3,3,0,0,1,0,1
2,1104,2,0,0,0,0,0,0
3,1075,2,1,0,0,0,0,1
2,2200,2,1,1,0,0,0,0
2,1155,2,1,0,0,0,0,1
2,1520,2,3,0,0,0,0,1
4,3122,6,2,0,0,0,0,1
2,1290,2,1,0,0,0,0,1
3,2300,3,1.584375738,1,0,0,0,1
4,3000,4,0,1,0,0,0,1
4,3251.97,4,1.584375738,0,0,0,0,1
1,400,1,0,1,0,0,0,1
3,1340,2,3,0,0,0,0,1
2,900,2,1,0,0,0,0,1
6,1800,4,1.584375738,0,0,1,0,1
2,987,2,1,0,0,0,0,1
3,1720,3,2,0,0,0,0,1
2,1040,2,1,0,0,0,0,1
2,900,2,0,1,0,0,0,1
2,1030,2,1,1,0,0,0,1
3,2556,3,2,0,0,0,0,1
3,1850,3,1,0,0,0,0,1
4,750,4,3,0,0,1,0,1
2,1028,2,1,0,0,0,0,0
2,1270,2,1,0,0,0,0,1
3,1655,3,1,1,0,0,0,0
2,940,2,1,1,0,0,0,1
2,1050,2,2,0,0,0,0,1
4,600,4,1,0,0,1,0,1
2,946,2,1,0,0,0,0,0
3,1726,3,3,1,0,0,0,1
3,2121,4,3,0,0,0,0,1
2,1404,2,1,0,0,0,0,1
3,1525,2,2,0,0,0,0,1
2,1025,2,2,0,0,0,0,1
5,1575,4,0,0,0,1,0,1
2,860,1,1,1,0,0,0,1
3,1223,2,1,0,0,0,0,1
4,3750,3,1.584375738,0,0,0,0,1
2,1197,2,1,0,0,0,0,1
2,1150,2,1,0,0,0,0,1
4,4800,5,3,1,0,0,0,1
2,1040,2,2,0,0,0,0,1
2,1310,2,2,0,0,0,0,0
3,1788,3,2,0,0,0,0,1
2,1144,2,2,0,0,0,0,1
2,1070,2,2,0,0,0,0,0
2,1200,2,2,0,0,0,0,1
3,1862,3,2,0,0,0,0,1
2,1200,2,1,0,0,1,0,1
2,970,2,2,0,0,0,0,1
3,1646,3,2,0,0,0,0,0
4,4395,4,2,0,0,0,0,1
5,1200,4,1,0,0,1,0,1
3,1995,3,2,0,0,0,0,0
4,2400,4,2,0,0,1,0,1
2,1085,2,1,0,0,0,0,0
2,1139,2,2,0,0,0,0,1
2,1092,2,2,0,0,0,0,1
3,1767,3,2,0,0,0,0,1
3,1700,3,1.584375738,1,0,0,0,1
3,1692,3,2,0,0,0,0,1
3,1645,3,3,1,0,0,0,1
3,1345,2,1,0,0,0,0,1
2,1100,2,1,0,0,0,0,1
3,1408,3,3,0,0,0,0,1
4,2400,4,1,0,0,1,0,1
4,1920,4,2,0,0,1,0,1
5,6040,4,1.584375738,0,0,1,0,1
3,2072,4,2,0,0,0,0,1
2,1420,2,1,0,0,0,0,1
3,2040,3,2,0,0,1,0,1
3,1220,3,2,0,0,0,0,1
4,1200,4,2,0,0,1,0,1
2,1300,2,1,0,0,0,0,1
2,1150,2,2,0,0,0,0,0
2,1470,2,2,0,0,0,0,1
2,1063,2,1,0,0,0,0,0
2,1311,2,2,0,0,0,0,1
4,3500,4,3,0,0,0,0,1
4,600,2,1,0,0,1,0,1
3,1400,2,2,0,0,0,0,1
2,2200,2,0,1,0,0,0,0
3,1430,2,2,0,0,0,0,1
2,1060,2,2,1,0,0,0,1
3,1000,2,0,1,0,0,0,1
3,1760,3,2,0,0,0,0,1
3,2010,3,3,0,0,0,0,1
3,1480,2,2,0,0,0,0,1
3,1230,2,2,0,0,0,0,0
3,1300,3,3,0,0,0,0,1
4,800,4,0,0,0,1,0,1
4,4850,6,2,0,0,0,0,1
2,1100,2,1,0,0,0,0,1
3,1752.12,3,2,0,0,0,0,1
2,957,2,1,0,0,0,0,1
1,790.5,1,0,0,0,0,0,0
3,1942,3,2,1,0,0,0,1
2,1000,2,2,1,0,0,0,1
1,668,1,1,0,0,0,0,1
5,3000,6,3,0,0,1,0,1
3,600,2,1,0,0,1,0,1
2,1089,2,1,0,0,0,0,1
3,1800,3,3,0,0,0,0,1
1,960,2,1,0,0,0,0,1
2,1036,2,3,0,0,0,0,1
3,1583,3,3,0,0,0,0,1
4,3300,4,0,1,0,0,0,1
2,1100,2,2,0,0,0,0,1
1,800,1,1,0,0,1,0,1
2,1246,2,1,0,0,0,0,1
2,850,2,3,0,0,0,0,1
2,1196,2,2,0,0,0,0,1
3,1697,3,2,0,0,0,0,1
2,1000,2,0,1,0,0,0,1
3,1567,3,3,0,0,0,0,1
2,1200,1,1,0,0,1,0,0
4,3750,6,3,0,0,1,0,1
2,950,2,2,0,0,0,0,1
2,1022,2,2,0,0,0,0,1
2,1018,2,0,0,0,0,0,1
4,2000,3,2,0,0,1,0,1
2,1322,2,2,0,0,0,0,1
4,1800,4,2,0,0,1,0,1
3,1460,2,2,0,0,0,0,1
2,990,2,1,0,0,0,0,0
3,2400,3,1,1,0,0,0,1
3,1635,2,2,0,0,0,0,1
4,3526,4,1,0,0,0,0,1
4,3400,3,1,1,0,0,0,1
3,2770,3,1,1,0,0,0,1
4,3035,5,0,0,0,0,0,1
3,1533,3,2,0,0,0,0,1
3,1720,3,1,0,0,0,0,1
3,2000,3,1,0,0,0,0,1
2,1185,2,2,0,0,0,0,0
2,900,2,1,0,0,0,0,0
1,395,1,1,1,0,0,0,1
2,1031,2,1,0,0,0,0,1
6,2400,8,2,0,0,1,0,1
4,2650,4,2,0,0,0,0,1
5,2400,5,1,0,0,1,0,1
3,1330,2,2,0,0,0,0,1
2,1259,2,2,0,0,0,0,1
3,1570,3,2,1,0,0,0,1
3,1075,2,1,1,0,0,0,1
2,1216,2,1,0,0,0,0,0
3,1428,2,2,0,0,0,0,1
2,1160,2,2,0,0,0,0,1
3,600,2,1,0,0,1,0,0
3,1475,3,2,0,0,0,0,1
3,1754,3,2,0,0,0,0,1
3,1639,3,1,0,0,0,0,0
3,1804,3,2,0,0,0,0,0
3,1200,3,2,0,0,1,0,0
2,1135,2,3,1,0,0,0,1
2,1260,2,2,0,0,0,0,1
5,1440,5,1,0,0,1,0,1
3,2160,3,2,1,0,0,0,1
7,700,6,1.584375738,0,0,1,0,1
2,1220,2,2,0,0,0,0,1
2,1200,2,0,0,0,1,0,1
2,1300,2,3,0,0,0,0,1
1,605,1,1,0,0,0,0,1
6,1230,4,1,0,0,1,0,1
2,1444,2,1,0,0,0,0,0
2,924,2,1,1,0,0,0,1
2,1000,2,1,0,0,0,0,0
4,600,4,0,0,0,1,0,1
3,1200,3,3,0,0,1,0,1
2,845,2,1,0,0,0,0,1
2,700,2,1,0,0,0,0,0
2,1187,2,2,0,0,0,0,1
3,1625,3,2,0,0,0,0,1
2,1200,2,2,0,0,1,0,1
2,1452.55,2,3,0,0,0,0,1
3,2357,3,2,1,0,0,0,1
2,1200,2,1,0,0,0,0,1
2,1139,2,2,0,0,0,0,1
1,600,1,0,1,0,0,0,1
3,1660,3,3,0,0,0,0,1
2,1170,2,3,0,0,0,0,1
2,1448,2,2,0,0,0,0,1
3,1762,3,3,0,0,0,0,0
2,1105,2,1,0,0,0,0,1
3,1825,3,1,0,0,0,0,0
1,296,1,0,0,0,0,0,0
5,1200,4,1,0,0,1,0,1
2,1185,2,2,0,0,0,0,1
3,1320,2,1,1,0,0,0,0
2,1058,2,1,0,0,0,0,1
2,1220,2,2,0,0,0,0,1
2,925,2,1,0,0,0,0,0
2,1200,2,1,0,0,0,0,0
3,1160,2,2,0,0,0,0,1
3,600,4,3,0,0,1,0,1
3,1411,3,2,0,0,0,0,0
3,1550,3,2,0,0,0,0,1
4,3250,4,3,0,0,0,0,1
3,2475,4,1.584375738,0,0,0,0,1
4,3181,2.692510947,1.584375738,0,0,0,0,0
4,2503,4,0,0,0,0,0,0
4,2524,5,2,0,0,0,0,1
2,1063,2,2,0,0,0,0,1
2,1077,2,1,0,0,0,0,1
2,1200,3,2,0,0,0,0,1
4,1500,3,2,1,0,0,0,1
2,1045,2,2,0,0,0,0,1
3,1290,2,3,0,0,0,0,1
2,1400,2,1,0,0,0,0,1
3,1600,3,2,1,0,0,0,1
3,3095,3,3,0,0,0,0,1
3,1545,2,1,0,0,0,0,1
3,1680,3,1,0,0,0,0,1
2,1350,2,1,1,0,0,0,1
2,950,2,1,0,0,0,0,1
2,1050,2,2,0,0,0,0,1
3,1305,2,2,0,0,0,0,1
4,800,4,2,0,0,1,0,1
5,2700,7,2,1,0,0,0,0
3,1100,3,1,0,0,1,0,1
6,3500,5,0,1,0,0,0,1
3,1634,3,1,0,0,0,0,0
2,1352,2,2,0,0,0,0,1
2,1145,2,2,0,0,0,0,0
2,1240,2,1.584375738,0,0,0,0,0
3,2200,3,2,0,0,0,0,1
2,1020,2,1,0,0,0,0,0
4,3600,4,1.584375738,0,0,0,0,1
2,1168,2,1,0,0,0,0,0
2,1205,2,1,0,0,0,0,0
2,1195,2,2,0,0,0,0,1
2,1028,2,1,1,0,0,0,1
2,1175,2,2,0,0,0,0,1
3,1550,2,2,0,0,0,0,1
3,1826,3,2,0,0,0,0,1
5,2400,5,2,0,0,1,0,1
3,1603,3,2,0,0,0,0,1
3,1350,3,1,1,0,0,0,1
1,714,1,1,1,0,0,0,1
2,1215,2,3,0,0,0,0,0
3,1405,2,2,1,0,0,0,1
2,1142,2,1,0,0,0,0,1
4,4000,4,3,1,0,0,0,1
3,1870,3,2,0,0,0,0,1
2,1313,2,2,0,0,0,0,1
3,1945,3,3,1,0,0,0,1
3,1573,3,2,0,0,0,0,0
2,1255,2,1,0,0,0,0,1
4,1400,3,2,0,0,0,0,1
2,1235,2,2,0,0,0,0,0
3,1380,2,1,0,0,0,0,1
7,1500,9,2,0,0,1,0,1
2,1238,2,1,0,0,0,0,1
3,1465,2,3,0,0,0,0,0
2,1418,2,2,0,0,0,0,1
3,1650,3,1,0,0,0,0,1
1,351,1,1,1,0,0,0,1
2,1279,2,2,0,0,0,0,1
3,1870,3,1,1,0,0,0,1
4,1500,5,1,0,0,1,0,1
3,2526,2,2,0,0,0,0,0
3,1550,2,1,0,0,1,0,1
4,3539.5,2.692510947,1.584375738,0,0,0,0,1
3,1845,2,1,0,0,0,0,0
3,1360,2,1,0,0,0,0,1
3,1150,2,1,1,0,0,0,1
2,1260,2,2,0,0,0,0,1
3,1200,3,1,0,0,1,0,1
2,965,2,1,1,0,0,0,1
3,1350,2,3,1,0,0,0,1
2,1447,2,1,0,0,0,0,0
3,1229,3,1,0,0,0,0,1
2,1027,2,2,0,0,0,0,1
2,1153,2,1,0,0,0,0,1
4,2856,5,0,0,0,0,0,0
2,1065,2,2,0,0,0,0,1
2,1030,2,3,1,0,0,0,1
2,1340,2,2,0,0,0,0,1
4,4000,5,1.584375738,0,0,0,0,1
1,600,1,0,1,0,0,0,1
3,1410,2,3,0,0,0,0,1
2,1055,2,2,0,0,0,0,0
2,1304,2,1,0,0,0,0,0
4,2720,4,1,0,0,0,0,0
2,990,2,1,1,0,0,0,1
2,1035,2,1,0,0,0,0,1
1,700,1,0,0,0,0,0,0
2,1120,2,2,0,0,0,0,1
2,1300,2,2,0,0,0,0,1
2,1239,2,1,0,0,0,0,0
3,1403,3,3,0,0,0,0,0
2,1365,2,1,0,0,0,0,1
2,1165,2,1,0,0,0,0,1
3,1130,2,3,0,0,0,0,1
3,1776.42,3,2,0,0,0,0,1
4,900,4,3,0,0,1,0,1
2,1194,2,2,0,0,0,0,1
2,1107,2,2,0,0,0,0,1
3,2319,3,2,0,0,0,0,1
3,1520,3,3,0,0,0,0,1
3,1536,3,1,0,0,0,0,0
4,3000,4,2,1,0,0,0,1
2,1050,2,1,0,0,0,0,1
3,1850,3,2,0,0,0,0,0
2,1112,2,2,0,0,0,0,1
3,1535,3,2,0,0,0,0,1
2,1050,2,1,1,0,0,0,1
4,2400,3,2,0,0,1,0,1
3,1250,3,2,0,0,0,0,1
2,1187,2,3,0,0,0,0,1
2,1164,2,1,1,0,0,0,1
3,1395,2,1,0,0,0,0,0
3,2072,3,2,0,0,0,0,0
3,1450,3,3,0,0,0,0,1
3,1550,3,2,0,0,0,0,1
2,1315,2,2,0,0,0,0,1
4,3067,4,3,0,0,0,0,0
2,1210,2,2,0,0,0,0,1
3,1075,2,1,0,0,0,0,1
6,11338,9,1,0,0,0,0,1
3,1215,3,1,0,0,0,0,0
3,1470,2,2,1,0,0,0,1
4,30000,4,1.584375738,0,0,1,0,0
3,1590,2,2,1,0,0,0,1
2,1050,2,1,0,0,0,0,1
2,1306,2,1,0,0,0,0,1
3,2000,3,2,1,0,0,0,1
3,1445,3,2,1,0,0,0,1
3,1220,3,2,0,0,0,0,1
4,3190,3,1,0,0,1,0,1
2,1215,2,1,0,0,0,0,0
3,1920,2,1,1,0,0,0,1
2,1390,2,2,0,0,0,0,1
3,800,2,1,0,0,1,0,1
3,600,3,2,0,0,1,0,1
2,1196,2,0,0,0,0,0,0
3,1550,2,2,0,0,0,0,1
2,1418,2,2,0,0,0,0,1
3,1655,3,2,0,0,0,0,0
2,1115,2,2,1,0,0,0,1
2,1170,2,2,0,0,0,0,1
2,1035,2,2,0,0,0,0,1
3,1306,2,2,0,0,0,0,1
2,750,2,2,0,0,0,0,0
3,1917,3,3,0,0,0,0,1
3,1615,3,3,0,0,0,0,1
2,1071,2,2,0,0,0,0,1
2,1325,2,2,0,0,0,0,1
7,3000,4,2,0,0,1,0,1
3,1400,2,1,0,0,0,0,1
2,1246,2,1,0,0,0,0,0
2,1215,2,0,1,0,0,0,1
2,1200,2,2,0,0,0,0,1
4,450,3,1,0,0,1,0,1
2,1200,2,2,0,0,0,0,1
2,945,2,2,1,0,0,0,1
4,4460,5,1.584375738,0,0,0,0,1
2,1175,2,1,0,0,0,0,1
2,920,2,1,0,0,0,0,1
4,3024,5,1,0,0,0,0,1
2,1600,2,2,0,0,1,0,1
4,750,2,0,0,0,1,0,1
4,2400,4,1.584375738,0,0,1,0,1
2,955,1,2,1,0,0,0,1
3,1750,3,3,0,0,0,0,1
3,1425,2,2,0,0,0,0,1
3,2150,3,2,0,0,0,0,1
2,1165,2,1,0,0,0,0,0
2,1050,2,2,0,0,0,0,1
3,1370,2,2,0,0,0,0,1
3,1374,2,1,0,0,0,0,0
3,1754,3,2,0,0,0,0,1
3,1847,3,2,0,0,0,0,1
3,1850,4,3,0,0,0,0,1
3,3297,3,1,0,0,1,0,0
2,1187,2,2,0,0,0,0,1
3,1400,2,1,1,0,0,0,0
3,600,2,0,0,0,1,0,1
2,1350,2,3,0,0,0,0,1
3,3000,2,2,0,0,1,0,1
1,693,1,1,0,0,0,0,0
3,1980,3,2,0,0,0,0,0
2,1021,2,1,0,0,0,0,1
2,1165,2,2,0,0,0,0,1
3,1756,3,2,0,0,0,0,0
3,1739,3,1,0,0,0,0,1
2,1280,2,1.584375738,0,0,0,0,1
2,1215,2,2,0,0,0,0,1
2,950,2,1,0,0,0,0,0
3,1082,2,1,1,0,0,0,1
2,1050,2,1,0,0,0,0,1
2,1080,2,0,0,0,0,0,1
2,1100,2,2,0,0,0,0,1
4,3200,4,1,0,0,1,0,1
2,1311,2,1,0,0,0,0,1
3,1608,3,1,0,0,0,0,1
2,1160,2,2,0,0,0,0,1
2,1170,2,1,0,0,0,0,1
2,1155,2,2,0,0,0,0,1
3,1255,2,1,0,0,0,0,0
2,1065,2,2,0,0,0,0,1
1,674,1,1,0,0,0,0,1
3,1936,4,2,0,0,0,0,1
3,2289,3,2,0,0,0,0,0
2,1100,2,1,0,0,0,0,1
3,2257,4,2,0,0,0,0,1
2,1055,2,2,0,0,0,0,1
3,1530,3,3,0,0,0,0,1
3,1700,3,1,0,0,0,0,1
3,1575,2,2,0,0,0,0,1
3,3500,4,2,1,0,0,0,1
2,1263,2,1,0,0,0,0,1
3,1559,3,0,0,0,0,0,1
2,1043,2,2,0,0,0,0,1
2,1255,2,2,0,0,0,0,1
2,1352.5,2,0,0,0,0,0,0
1,590,1,0,0,0,0,0,0
3,1550,3,1,0,0,1,0,1
3,1220,3,3,0,0,0,0,1
3,1900,3,3,0,0,0,0,1
3,1360,3,3,0,0,0,0,1
2,1100,2,1,1,0,0,0,1
3,1455,3,2,0,0,0,0,0
2,1035,2,1,1,0,0,0,1
2,1152,2,2,0,0,0,0,1
2,1299,2,2,0,0,0,0,1
3,1157,2,1,0,0,0,0,0
2,1050,2,2,0,0,0,0,1
2,1050,2,2,0,0,0,0,1
2,1246,2,1,0,0,0,0,1
3,1929,3,2,1,0,0,0,1
2,1285,2,1,0,0,0,0,1
3,1200,2,0,0,0,1,0,1
4,3161,4,3,1,0,0,0,1
3,1850,3,1.584375738,1,0,0,0,1
3,1025,2,0,1,0,0,0,1
2,1124,3,2,1,0,0,0,1
2,1012,2,1,0,0,0,0,0
7,4500,5,3,0,0,0,0,1
2,871,2,2,0,0,0,0,1
2,1020,2,2,1,0,0,0,1
3,1550,3,3,0,0,0,0,1
3,3515,3,1,0,0,1,0,1
3,1410,2,2,0,0,0,0,1
4,3500,5,3,0,0,1,0,0
2,1118,2,1,0,0,0,0,0
2,1098,2,1,0,0,0,0,1
2,1130,2,1,0,0,0,0,1
2,1145,2,2,0,0,0,0,1
3,950,3,1,0,0,1,0,1
2,1051,2,1,0,0,0,0,1
7,600,7,1.584375738,0,0,1,0,1
2,1102,2,2,0,0,0,0,0
2,1478,2,2,0,0,0,0,1
1,645,1,1,0,0,0,0,0
2,823,2,1,0,1,0,0,0
2,880,2,1,0,0,0,0,0
4,600,5,2,1,0,0,0,1
3,1991,4,2,0,0,0,0,1
3,1100,3,1,1,0,0,0,1
3,1745,3,2,0,0,0,0,1
2,1226,3,1,1,0,0,0,0
3,680,4,1,0,0,1,0,1
2,1100,2,1,0,0,0,0,1
4,1200,4,3,0,0,1,0,1
2,1450,2,1,0,0,0,0,1
4,3366,4,1.584375738,0,0,0,0,1
2,1150,2,1,1,0,0,0,1
3,1843,3,2,0,0,0,0,1
4,2200,4,2,0,0,1,0,1
2,1090,3,2,1,0,0,0,1
2,1132,2,2,0,0,0,0,1
2,1375,2,2,0,0,0,0,1
4,1500,5,3,0,0,1,0,1
1,760,1,2,0,0,0,0,1
2,1180,2,2,0,0,0,0,1
2,918,2,2,0,0,0,0,1
5,600,5,1.584375738,0,0,1,0,1
2,1200,1,0,1,0,0,0,1
2,1372,2,1,0,0,0,0,1
7,2400,7,3,0,0,1,0,1
3,1728,3,2,0,0,0,0,1
3,2215,3,1,0,0,0,0,1
2,1200,2,2,0,0,0,0,1
2,1280,2,1.584375738,0,0,0,0,1
4,800,4,1.584375738,0,0,1,0,1
3,1455,2,2,0,0,0,0,1
1,440,1,0,0,0,0,0,0
3,1500,3,2,0,0,1,0,1
3,1800,3,1.584375738,0,0,0,0,1
3,1525,3,2,0,0,0,0,1
2,1204,2,3,0,0,0,0,1
2,1225,2,1,0,0,0,0,0
6,800,6,3,1,0,0,0,1
3,1650,3,1.584375738,0,0,0,0,1
3,880,2,1,1,0,0,0,1
4,4200,4,2,1,0,0,0,1
2,1200,2,0,0,0,1,0,1
4,1152,4,1,0,0,1,0,1
2,1005,2,1,0,0,0,0,1
3,1562,3,2,0,0,0,0,0
4,5000,5,2,1,0,0,0,1
6,810,5,2,0,0,1,0,1
2,1200,2,3,0,0,0,0,1
3,1555,3,2,0,0,0,0,1
2,1550,2,1,0,0,1,0,1
2,1190,2,2,0,0,0,0,1
2,1070,2,2,1,0,0,0,1
2.803653311,1800,2.692510947,1.584375738,0,0,1,1,0
2,1020,2,1,0,0,0,0,1
3,1610,3,1,0,0,0,0,1
1,700,1,1,0,0,0,0,1
3,1300,2,1,0,0,0,0,1
2,1420,2,1,0,0,0,0,1
9,1200,9,2,0,0,1,0,1
3,1069,3,2,0,1,0,0,0
3,1900,3,3,0,0,0,0,1
2,1655,2,1,0,0,0,0,0
2,1155,2,2,0,0,0,0,1
3,1300,2,2,1,0,0,0,1
2,1100,2,2,0,0,0,0,1
2,1030,2,2,0,0,0,0,1
2,2105,2,1,0,0,0,0,1
3,1700,3,2,1,0,0,0,1
3,1760,3,2,0,0,0,0,1
9,6200,9,0,1,0,0,0,1
2,1400,2,1,1,0,0,0,1
2,1200,2,0,0,0,0,0,1
2,912,2,1,1,0,0,0,1
2,1102,2,1,0,0,0,0,1
3,1535,3,1,0,0,0,0,1
2,1243,2,2,0,0,0,0,1
2,918,2,2,0,0,0,0,1
3,1500,2,3,0,0,0,0,1
3,3000,3,0,0,0,1,0,1
3,1476,3,0,0,0,0,0,1
2,1200,2,3,0,0,0,0,0
1,606,1,0,0,0,0,0,0
2,1100,2,3,0,0,0,0,1
3,1295,2,1,0,0,0,0,1
1,527,1,0,1,0,0,0,1
2,1300,2,2,0,0,0,0,1
3,680,4,1,0,0,1,0,1
1,1260,1,0,0,0,1,0,1
2,1140,2,1,1,0,0,0,1
1,1500,1,0,0,0,1,0,1
3,2321,4,1,0,0,0,0,0
2,1390,2,2,0,0,0,0,1
3,1725,3,3,0,0,0,0,1
4,3067,4,1,0,0,0,0,0
3,1186,2,1,0,0,0,0,0
2,1230,2,1,0,0,0,0,0
1,600,1,1,1,0,0,0,1
3,1313,3,1,0,0,0,0,0
2,900,2,0,0,0,1,0,1
2,1250,2,2,0,0,0,0,1
9,1200,6,3,0,0,1,0,1
1,660,1,1,0,0,0,0,0
2,1036,2,2,0,0,0,0,1
4,2700,4,3,1,0,0,0,1
2,1100,2,1,0,0,0,0,1
2.803653311,1950,2.692510947,1.584375738,0,0,1,1,0
4,1500,2,1,0,0,1,0,1
4,525,5,2,0,0,1,0,1
2,1015,2,1,1,0,0,0,1
1,812,1,0,0,0,1,0,1
3,1360,2,2,1,0,0,0,1
3,2167,3,3,0,0,0,0,1
2,1200,2,1,0,0,0,0,1
2,1165,2,2,0,0,0,0,1
2,1274,2,2,0,0,0,0,1
2,1151,2,2,0,0,0,0,1
6,1060,6,3,0,0,1,0,1
3,1626,2,2,0,0,0,0,1
2,1035,2,2,0,0,0,0,1
3,1272,4,0,0,0,1,0,1
2,965,2,1,1,0,0,0,1
5,1600,5,2,0,0,1,0,1
2,1070,2,1,0,0,0,0,1
3,1570,2,2,1,0,0,0,1
2,1053,2,2,1,0,0,0,1
2,780,2,2,0,0,0,0,1
3,1000,2,1,0,0,0,0,1
4,1200,3,2,0,0,1,0,1
7,7500,7,2,1,0,0,0,1
3,1700,2,3,1,0,0,0,1
3,1850,3,1.584375738,0,0,0,0,1
2,904,2,1,1,0,0,0,1
2,1121,2,1,0,0,0,0,1
3,1385,2,2,0,0,0,0,1
2,1270,2,1,0,0,0,0,1
3,1450,3,3,0,0,0,0,1
3,2400,4,2,0,0,1,0,1
1,730,1,1,0,0,0,0,1
3,1580,3,3,0,0,0,0,1
2,1111,2,1,0,0,0,0,1
4,1125,2,1,0,0,1,0,1
2,977,2,2,0,0,0,0,1
2,674,1,1,0,0,0,0,0
3,600,3,1,0,0,1,0,0
4,2540,4,1,0,0,1,0,1
2,1290,2,1,0,0,0,0,0
3,600,3,1,0,0,1,0,1
2,795,2,1,0,0,0,0,1
2,700,1,1,0,0,0,0,0
2,1463,1,1,1,0,0,0,1
3,1000,3,0,1,0,0,0,1
3,1306,2,2,0,0,0,0,1
3,2401,3,2,0,0,0,0,1
4,1670,3,0,0,0,1,0,1
3,1875,2,3,1,0,0,0,1
3,1200,3,1,0,0,1,0,1
3,1804,3,2,0,0,0,0,1
3,2065,4,1,0,0,0,0,1
3,1225,3,1,0,0,0,0,1
2,1185.5,2,0,0,0,0,0,0
2,900,2,2,0,0,0,0,1
2,1350,2,1,0,0,0,0,0
1,700,1,0,0,0,0,0,1
2,1005,2,0,0,0,0,0,0
2,1160,2,1,0,0,0,0,1
3,1680,3,1.584375738,0,0,0,0,1
2,1043,2,2,0,1,0,0,1
4,1200,4,1,0,0,1,0,1
2,1040,2,2,0,0,0,0,1
3,1357,2,2,0,0,0,0,1
7,1600,7,1,0,0,1,0,1
2,1225,2,2,0,0,0,0,0
9,1500,6,1,0,0,1,0,1
2,1130,2,2,0,0,0,0,1
4,2500,4,1,1,0,0,0,1
3,1700,3,3,0,1,0,0,1
3,1549,3,2,0,0,0,0,1
2,1400,2,2,0,0,0,0,1
2,1080,2,2,0,0,0,0,1
2,1180,2,2,1,0,0,0,1
7,780,7,3,0,0,1,0,1
3,1800,3,2,0,0,0,0,1
2,1225,2,1,0,0,0,0,0
1,890,1,1,1,0,0,0,1
2,1005,2,1,0,0,0,0,1
2,1320,2,1,0,0,0,0,1
4,1475,2,1,1,0,0,0,1
3,1707,2.692510947,1.584375738,0,0,0,0,0
2,1110,2,2,0,0,0,0,1
2,1300,2,0,0,0,1,0,0
5,600,3,1,0,0,1,0,1
2,1128,2,1,0,0,0,0,0
2,1452.19,2,1,0,0,0,0,0
3,2400,3,2,0,0,1,0,1
3,2600,4,1,0,0,0,0,0
3,2500,4,2,0,0,0,0,1
2,630,1,1,1,0,0,0,1
2,1243,2,2,0,0,0,0,1
2,960,2,2,1,0,0,0,1
3,1690,3,2,0,0,0,0,1
2,735,2,1,1,0,0,0,1
2,1365,2,2,0,0,0,0,1
5,2849,5,0,0,0,0,0,1
2,1420,2,1,0,0,0,0,1
3,1570,3,3,0,0,0,0,1
2,850,1,1,0,0,0,0,1
3,1575,2,2,0,0,0,0,1
2,1418,2,2,0,0,0,0,1
2,1050,2,1,0,0,0,0,1
2,1065,2,1,0,0,0,0,1
